date	temperature	humidity	light	leaf Instance Count	leaf average mask	flower Instance Count	flower Mask Pixel Count	terminal average Mask Pixel Count	fruit Mask average	all leaf mask	Target
2024/5/11	26.30738542	59.82765625	6478.3875	7.4375	7748.008403	4.5	1686	718.7692308	324	461006.5	4.423832861
2024/5/12	29.64583333	57.39702083	6996.252083	7.5	7716.05	3	909	471.9230769	391.8333333	462963	4.498579913
2024/5/13	29.43742708	58.8938125	6858.696875	7.8125	7518.032	3	1055.5	543.4166667	462.8666667	469877	3.813801065
2024/5/14	30.18196875	57.87975	6678.845833	8.0625	7547.015504	2	568	463.4285714	763.7	486782.5	4.071787143
2024/5/15	27.94302083	61.23829167	6452.842708	7.6875	8154.422764	2	575.5	741.7916667	561.4	501497	5.894976367
2024/5/16	30.26680208	61.3713125	6672.602083	8.4375	7382.096296	2.5	797.5	691.9	644.7352941	498291.5	5.316928861
2024/5/17	32.34011458	61.83146875	2424.323958	9.25	6980.344595	2	568	546.8333333	617.3157895	516545.5	2.950368261
2024/5/18	32.44972917	55.49289583	2223.045833	8.8125	6743.687943	1.5	759	506.8666667	790.25	475430	1.840438699
2024/5/19	31.74659375	58.85734375	2399.278125	5.5	8294.170455	0.5	120	518.4615385	445.375	364943.5	2.375733253
2024/5/20	30.014375	58.16376042	2451.016667	6.125	8198.734694	2	340.5	790.0909091	761.6666667	401738	1.300398846
2024/5/21	30.65991667	59.91825	2572.392708	6.75	7344.111111	2	561.5	570.59375	680.9	396582	1.985838663
2024/5/22	30.93794792	49.6325625	2594.734375	7.0625	7289.415929	1	192	744	339.5	411852	1.985340387
2024/5/23	32.61027083	50.28388542	8000.695833	6.6875	7694.672897	1.5	327.5	911.7727273	420.6666667	411665	7.478970701
2024/5/24	33.94101042	47.28429167	6411.784375	7.3125	7207.239316	0.5	57	568.25	622	421623.5	6.42297982
2024/5/25	23.397625	83.55548958	2308.863542	8.3125	6777.849624	0.5	228.5	699.8928571	716	450727	2.367790673
2024/5/26	31.39295833	62.31153125	6845.228125	7.6875	7266.739837	1	264	960.5	719.25	446904.5	7.742041328
2024/5/27	30.14852083	56.31063542	7127.317708	8.25	7257.515152	1.5	469.5	961.0909091	625.15	478996	8.437059346
2024/5/28	26.92940625	70.22390625	2862.616667	7.6875	7638.821138	1	236.5	863.1428571	1345	469787.5	2.557226096
2024/5/29	20.7315625	87.93417708	2407.245833	8.177083333	7264.564698	1.166666667	480.5833333	788.8688603	870.4238095	475330.6667	1.388173147
2024/5/30	31.45307292	55.33525	8687.734375	7.993055556	7287.87528	1.381944444	467.2222222	796.6172074	853.3240575	466007.6944	7.092231519
2024/5/31	28.44673958	64.91065625	4512.127083	7.939814815	7309.337053	2.028935185	730.1759259	765.3752951	891.8364005	464358.9769	5.462124728
2024/6/1	22.542625	80.06648958	2911.151042	7.882908951	7295.966318	2.179591049	730.7469136	738.9956667	914.8920208	460051.973	1.854445314
2024/6/2	21.29244792	84.64233333	3185.19375	9.125	7577.267123	2	1371	659.625	1093.5	553140.5	1.197125801
2024/6/3	26.04542708	70.817	5677.284375	8	7069.195313	1	314	588.9615385	723.6428571	452428.5	2.77867394
2024/6/4	23.54596875	69.72936458	5676.622917	8.15625	7230.415544	2.625	1038.75	617.1390797	836.4776786	472599	2.076549793
2024/6/5	29.10404167	57.03082292	6726.317708	7.375	7176.830508	4.5	1688.5	565.3928571	820.6428571	423433	3.264794546
2024/6/6	22.11340625	77.71776042	3030.798958	8.125	7098.369231	3	781.5	654.5769231	708.125	461394	1.86034671
2024/6/7	28.86066667	67.67305208	5171.078125	8.036100788	7362.235235	2.116090374	827.7238031	696.1506004	871.8622186	473253.6006	1.867612577
2024/6/8	23.29401042	72.51430208	2880.021875	8.218652042	7427.219793	2.162085262	956.8141698	658.3276519	880.6769033	488261.5367	1.581125061
2024/6/9	27.27441667	61.40528125	4489.873958	8.103027344	7416.417775	2.09375	893.1582031	621.9037877	800.04355	480341.916	3.215507056
2024/6/10	30.21403125	59.15495833	6557.307292	7.763671875	7419.227956	2.375	832.3515625	612.7861533	714.2720424	459511.7578	3.178713675
2024/6/11	32.89897917	52.37584375	8799.666667	7.5234375	7599.980708	3	1055.28125	626.2424591	668.7593006	456286.9063	3.862071149
2024/6/12	34.474625	56.18571875	8111.64375	7.375	7777.320258	2.875	921.375	618.801536	628.2083333	456732.625	4.976903698
2024/6/13	35.77261458	43.15465625	9054.739583	7.1875	8215.356522	2	572.5	703.6363636	389.7083333	472383	3.348934393
2024/6/14	34.73816667	49.53934375	8827.097917	6.8125	8618.724771	2	643	551.6	594.3571429	469720.5	2.655163141
